"","Plate","Sample_ID","Treatment","Time","Cat_Absorbance_560nm","TotalProtein_ug","Catalase_UmL","Catalase_UmL_ng_protein"
"1",1,"T0BL1","Baseline","Baseline",0.2264,17.0386366286226,1.35603398171466,79.5858266873715
"2",1,"T0BL1","Baseline","Baseline",0.2192,17.0386366286226,1.4201530521989,83.3489840268816
"3",1,"T0BL2","Baseline","Baseline",0.0544,24.0419594698804,4.72333595184654,196.462187608456
"4",1,"T0BL2","Baseline","Baseline",0.0542,24.0419594698804,4.73079346662476,196.772375086626
"5",1,"T0BL3","Baseline","Baseline",0.0494,24.4465995342814,4.9136302522309,200.994426457575
"6",1,"T0BL3","Baseline","Baseline",0.049,24.4465995342814,4.92920602832227,201.631561126122
"7",1,"T0BL4","Baseline","Baseline",0.0745,23.456931741101,4.03496606747118,172.015935929129
"8",1,"T0BL4","Baseline","Baseline",0.0691,23.456931741101,4.20850579959349,179.414164053664
"9",1,"T0BL5","Baseline","Baseline",0.0638,25.8089858556013,4.38675511425133,169.970069292718
"10",1,"T0BL5","Baseline","Baseline",0.066,25.8089858556013,4.3117888725886,167.0654126711
"11",1,"T0BL6","Baseline","Baseline",0.0994,25.7567380194289,3.33018534577545,129.293753862132
"12",1,"T0BL6","Baseline","Baseline",0.1896,25.7567380194289,1.72914173542567,67.133568471339
"13",1,"T1A1","Control","1",0.0857,30.4795715434517,3.69945134193463,121.374781684863
"14",1,"T1A1","Control","1",0.074,30.4795715434517,4.05070204734893,132.898916954073
"15",1,"T1A2","Control","1",0.2512,24.4390342457903,1.16293401473187,47.5851051656095
"16",1,"T1A2","Control","1",0.1624,24.4390342457903,2.09044633399827,85.5371907487854
"17",1,"T1A3","Control","1",0.0774,29.9631837307844,3.94500443823947,131.661724391001
"18",1,"T1A3","Control","1",0.0528,29.9631837307844,4.78335253754429,159.640997449475
"19",1,"T1A4","OA","1",0.0623,23.1430986984498,4.43867811220332,191.792731389969
"20",1,"T1A4","OA","1",0.0662,23.1430986984498,4.30504301345438,186.018435540905
"21",1,"T1A5","OA","1",0.0512,33.4183898802211,4.84419086964671,144.955842786243
"22",1,"T1A5","OA","1",0.0514,33.4183898802211,4.8365407557824,144.726923502827
"23",1,"T1A6","OA","1",0.0796,28.7815485550973,3.87822163911221,134.746802510922
"24",1,"T1A6","OA","1",0.0511,28.7815485550973,4.8480208059679,168.441972352085
"25",2,"T1B1","Control","1",0.0825,18.3679465448566,4.43413080346485,241.405907439692
"26",2,"T1B1","Control","1",0.0993,18.3679465448566,4.12279879767802,224.456162674999
"27",1,"T1B2","Control","1",0.166,25.1709874180282,2.03769734160214,80.9542076264629
