"","Plate","Treatment","Time","Sample_ID","N","SOD_UmL_ng_protein","sd","se","ci"
"1",1,"Control","1","T1-A1",2,175.372411200307,102.170540664211,72.2454821411598,917.965887349229
"2",1,"Control","1","T1-A2",2,360.470192708581,96.0862742921665,67.9432561309416,863.3009228421
"3",1,"Control","1","T1-A3",2,430.643212019331,119.393976437474,84.4242903717645,1072.7123181699
"4",1,"Control","1","T1-OA1",2,581.551908546419,93.0236433452762,65.7776490201236,835.784275513932
"5",1,"Control","1","T1-OA2",2,309.146244980925,46.3411297707542,32.7681271087461,416.358531864724
"6",1,"Control","1","T1-OA3",2,431.484524605969,79.4921264727038,56.2094216797875,714.208419965357
"7",1,"Control","2","T2-A1",2,422.684578314271,61.3459711517942,43.378152199908,551.171682928978
"8",1,"Control","2","T2-A2",2,292.536331696219,42.1530952890148,29.806739526865,378.730534946178
"9",1,"Control","2","T2-A3",2,271.68848347849,52.7457059098402,37.2968463273194,473.901365448565
"10",1,"Control","2","T2-OA1",2,264.623819410079,56.6736377706063,40.0743135821057,509.192433035902
"11",1,"Control","2","T2-OA2",2,315.830327219004,55.642003995282,39.3448383438729,499.923571308945
"12",1,"Control","2","T2-OA3",2,294.898789433205,72.8748681393394,51.5303134394023,654.7547126803
"13",1,"Control","3","T3-A1",2,276.586216071059,59.2049427153057,41.8642164737538,531.935305635053
"14",1,"Control","3","T3-A2",2,394.893639300415,62.5118788052639,44.2025734079137,561.646947586743
"15",1,"Control","3","T3-A3",2,551.519973976342,134.46725486809,95.0827077647666,1208.14035172899
"16",1,"OA","1","T1-A4",2,427.648290123181,136.967576651411,96.8507022529012,1230.60485166766
"17",1,"OA","1","T1-A5",2,323.761101117055,95.6750150481242,67.6524519306536,859.605905135102
"18",1,"OA","1","T1-A6",2,657.114262352172,126.276944301993,89.291283623455,1134.55333087546
"19",1,"OA","1","T1-OA4",2,408.824647160926,98.5803266514332,69.7068174668134,885.709094240489
"20",1,"OA","1","T1-OA5",2,381.100424288344,12.5354539673891,8.86390450559264,112.626585409961
"21",1,"OA","1","T1-OA6",2,385.569459024894,77.8328463219193,55.0361334332796,699.300379290679
"22",1,"OA","2","T2-A4",2,272.563984623697,50.3059025228811,35.5716448076387,451.980601728343
"23",1,"OA","2","T2-A5",2,271.725605239027,55.1349296416824,38.9862826298768,495.367688997586
"24",1,"OA","2","T2-A6",2,292.293712101631,50.1428265021654,35.4563326475417,450.51542181358
"25",1,"OA","2","T2-OA4",2,303.339418204586,66.1651531337062,46.78582845909,594.470315152746
"26",1,"OA","2","T2-OA5",2,259.414806909463,74.772865976454,52.8724005807035,671.807546671461
"27",1,"OA","2","T2-OA6",2,240.084094141631,64.1164925347062,45.3372066571874,576.063829952485
"28",1,"OA","3","T3-A4",2,291.640320008309,68.3451795790441,48.3273399417544,614.057075654644
"29",1,"OA","3","T3-A5",2,318.568910385508,54.69708682921,38.6766810080838,491.433827404432
"30",1,"OA","3","T3-A6",2,260.103153000651,54.0342324844536,38.2079722059675,485.478317403096
"31",2,"Baseline","Baseline","BL1",2,385.19010646906,81.4520645201201,57.5953071638211,731.81776466638
"32",2,"Baseline","Baseline","BL2",2,263.705565652188,55.179171867578,39.0175666078224,495.765189626324
"33",2,"Baseline","Baseline","BL3",2,221.499281667249,46.0552144974156,32.5659544801236,413.789685053395
"34",2,"Baseline","Baseline","BL4",2,263.855290313965,68.486282143812,48.4271145221446,615.324831900548
"35",2,"Baseline","Baseline","BL5",2,556.252935544313,78.5306323009906,55.5295426308978,705.569737574328
"36",2,"Baseline","Baseline","BL6",2,387.146587732287,58.5908785273222,41.4300075223468,526.418157800196
"37",2,"Control","3","T3-OA1",2,171.773766117871,55.0900139486443,38.9545224387478,494.964137506641
"38",2,"Control","3","T3-OA2",2,150.835987148547,44.5284397127599,31.4863616765489,400.072157859475
"39",2,"Control","3","T3-OA3",2,273.140437550566,72.0721709536744,50.9627208161793,647.542764602886
"40",2,"OA","3","T3-OA4",2,214.26913656183,28.1290859143537,19.8902673986185,252.729809824107
"41",2,"OA","3","T3-OA5",2,152.073696020991,26.0243549723329,18.4019978769425,233.819552579083
"42",2,"OA","3","T3-OA6",2,163.086268789207,27.6183343388032,19.529111496045,248.140888984331
"43",2,NA,"1","T1-HW1",2,241.812032088465,70.1535449458767,49.6060473555047,630.30459385142
"44",2,NA,"1","T1-HW2",2,286.911178649126,76.5920602933003,54.1587652184416,688.152359123936
"45",2,NA,"1","T1-HW3",2,276.644031509683,54.9863862539538,38.8812465931135,494.033079609795
"46",2,NA,"1","T1-HW4",2,253.629043441665,27.4241791762861,19.3918230640268,246.396474059199
"47",2,NA,"1","T1-HW5",2,269.568758158683,45.8392231977009,32.413225567418,411.849080219425
"48",2,NA,"1","T1-HW6",2,178.505270609204,32.7293486683408,23.1431443872027,294.06153082265
"49",2,NA,"2","T2-HW1",2,192.204342096246,62.9242945856434,44.4941954028884,565.352356360463
"50",2,NA,"2","T2-HW2",2,293.140610399021,45.3796281738398,32.0882428094462,407.719782760909
"51",2,NA,"2","T2-HW3",2,198.075731055371,47.7559385117762,33.7685479636047,429.070084068897
"52",2,NA,"2","T2-HW4",2,234.447495094993,58.355553986406,41.2636079436853,524.30385068571
"53",2,NA,"2","T2-HW5",2,314.222511329413,63.046459388117,44.5805789631398,566.449963562857
"54",2,NA,"2","T2-HW6",2,178.875615604993,28.3950593819113,20.0783390411442,255.119486619108
"55",2,NA,"3","T3-HW1",2,253.071744224503,64.3800614666528,45.5235780362769,578.43190285216
"56",2,NA,"3","T3-HW2",2,197.287799447656,40.1160527656404,28.3663329450217,360.428434013943
"57",2,NA,"3","T3-HW3",2,189.740457938297,29.2675841131934,20.6953071953867,262.958810302613
"58",2,NA,"3","T3-HW4",2,221.277016749592,43.2278849770209,30.5667306036036,388.387137164884
"59",2,NA,"3","T3-HW5",2,214.063623760752,45.4984617531746,32.1722708392265,408.787460110875
"60",2,NA,"3","T3-HW6",2,184.322258199679,39.4694269766032,27.9090994647034,354.618731800785
