"","Plate","Sample_ID","Abs_562nm_raw","Abs_562nm_corrected","Dilution_factor","Volume_ul","TotalProtein_ug","TotalProtein_ug_mL"
"69",1,"T2D2",0.8542,0.7253,0,25,18.1038998327396,724.155993309585
"70",1,"T3D1",1.0192,0.8903,0,25,21.7629458506101,870.517834024405
"71",1,"T3D1",1.0371,0.9082,0,25,22.1468982931646,885.875931726583
"72",1,"T1C2",0.6594,0.5305,0,25,13.4612735539795,538.450942159178
"73",1,"T1C2",0.6162,0.4873,0,25,12.3757388434827,495.029553739308
"74",1,"T1C3",0.7441,0.6152,0,25,15.527818687075,621.112747482999
"75",1,"T1C3",0.7074,0.5785,0,25,14.6420328309179,585.681313236717
"76",1,"T1A6",0.7204,0.5915,0,25,14.9574385028224,598.297540112898
"77",1,"T1A6",0.715,0.5861,0,25,14.8266450490191,593.065801960764
"78",1,"T2D2",0.7763,0.6474,0,25,16.2934696181729,651.738784726915
"79",2,"T1B1",0.6351,0.5015,0,25,12.7145114691579,508.580458766315
"80",2,"T1B1",0.6418,0.5082,0,25,12.8782678684104,515.130714736415
"81",2,"T3B2",0.893,0.7594,0,25,18.7352170531091,749.408682124364
"82",2,"T3B2",0.9636,0.83,0,25,20.2929851966095,811.71940786438
"83",2,"T1B2",0.8099,0.6763,0,25,16.8548518432894,674.194073731575
"84",2,"T1B2",0.8347,0.7011,0,25,17.4215450249987,696.861800999948
"85",2,"T2A5",0.8848,0.7512,0,25,18.5519776480273,742.079105921091
"86",2,"T2A5",0.8761,0.7425,0,25,18.3570247009348,734.280988037393
"87",2,"T3D3",0.9311,0.7975,0,25,19.5802411750542,783.209647002167
"88",2,"T3D3",0.9917,0.8581,0,25,20.9034245032159,836.136980128635
"89",2,"T3B5",0.9935,0.8599,0,25,20.9423472823103,837.693891292413
"90",2,"T3B5",0.9886,0.855,0,25,20.83634038998,833.453615599198
"91",2,"T2C3",0.908,0.7744,0,25,19.0691452918501,762.765811674005
"92",2,"T2C3",0.921,0.7874,0,25,19.3572412460213,774.289649840852
"93",2,"T3B4",0.8776,0.744,0,25,18.390677174725,735.627086988999
"94",2,"T3B4",0.8623,0.7287,0,25,18.0466361356984,721.865445427935
"95",2,"T3C2",1.0363,0.9027,0,25,21.8615973134351,874.463892537403
"96",2,"T3C2",1.043,0.9094,0,25,22.0044299191359,880.177196765435
"97",2,"T3B6",0.951,0.8174,0,25,20.0175262762516,800.701051050063
"98",2,"T3B6",0.9553,0.8217,0,25,20.1116544897934,804.466179591736
"99",2,"T3A1",1.0924,0.9588,0,25,23.0488828817037,921.95531526815
"100",2,"T3A1",1.0963,0.9627,0,25,23.1307006571781,925.228026287123
"101",2,"T1A2",0.7618,0.6282,0,25,15.7417268167146,629.669072668586
"102",2,"T1A2",0.7055,0.5719,0,25,14.4142460023463,576.569840093851
"103",2,"T1A3",0.6399,0.5063,0,25,12.8318731373378,513.274925493511
"104",2,"T1A3",0.6369,0.5033,0,25,12.7585479902566,510.341919610264
"105",2,"T3C1",0.7788,0.6452,0,25,16.1372935038582,645.49174015433
"106",2,"T3C1",0.7985,0.6649,0,25,16.5927274762313,663.709099049252
"107",2,"T3A4",0.9447,0.8111,0,25,19.8793871260157,795.175485040629
"108",2,"T3A4",0.9479,0.8143,0,25,19.949587344633,797.983493785321
"109",2,"T3C2",1.0585,0.9249,0,25,22.3337761683841,893.351046735363
"110",2,"T3C2",1.0385,0.9049,0,25,21.9085290433852,876.341161735409
"111",2,"T3C3",0.9624,0.8288,0,25,20.2667978222269,810.671912889075
"112",2,"T3C3",0.9811,0.8475,0,25,20.6737751288528,826.951005154112
"113",2,"T3A2",0.7253,0.5917,0,25,14.8842210395704,595.368841582815
"114",2,"T3A2",0.7221,0.5885,0,25,14.8084979045979,592.339916183915
"115",2,"T3B1",0.9335,0.7999,0,25,19.6331255968563,785.325023874251
"116",2,"T3B1",0.9355,0.8019,0,25,19.6771650977496,787.086603909984
"117",2,"T2B4",0.7733,0.6397,0,25,16.009577132122,640.383085284881
"118",2,"T2B4",0.7895,0.6559,0,25,16.3850513582873,655.402054331491
"119",2,"T3A3",0.6017,0.4681,0,25,11.8916654403943,475.666617615773
"120",2,"T3A3",0.6255,0.4919,0,25,12.4791222257093,499.164889028371
