"","Plate","Sample_ID","Treatment","Time","SOD_Absorbance_450nm","TotalProtein_ug","SOD_UmL","SOD_UmL_ng_protein"
"1",2,"T0BL1","Baseline","Baseline",0.4626,13.3367083657206,0.0229306170786076,1.71936106344998
"2",2,"T0BL1","Baseline","Baseline",0.2535,13.3367083657206,0.0857963859176163,6.43310054961832
"3",1,"T0BL2","Baseline","Baseline",0.2781,13.2268804801403,0.0394634029633739,2.98357598548098
"4",1,"T0BL2","Baseline","Baseline",0.1551,13.2268804801403,0.175151793602511,13.2421090419238
"5",1,"T0BL3","Baseline","Baseline",0.3187,18.6226683885641,0.0338427767514627,1.8172893403528
"6",1,"T0BL3","Baseline","Baseline",0.1852,18.6226683885641,0.104412334449702,5.60673327103971
"7",1,"T0BL4","Baseline","Baseline",0.2659,17.3531945828687,0.0424068289810972,2.44374767876814
"8",1,"T0BL4","Baseline","Baseline",0.1263,17.3531945828687,0.305085248504311,17.5809270764182
"9",2,"T0BL5","Baseline","Baseline",0.3827,9.48684719537227,0.0296224948666796,3.12248044652069
"10",2,"T0BL5","Baseline","Baseline",0.5516,9.48684719537227,0.0207795151807999,2.19034993953905
"11",1,"T0BL6","Baseline","Baseline",0.366,13.4276854785018,0.0313447822741944,2.33433992212422
"12",1,"T0BL6","Baseline","Baseline",0.2245,13.4276854785018,0.0611010701434912,4.55037990287426
"13",1,"T1A1","Control","1",0.1367,22.9181636639757,0.248376874191412,10.8375556538078
"14",1,"T1A1","Control","1",0.207,22.9181636639757,0.0758651869835175,3.31026464841804
"15",1,"T1A2","Control","1",0.2973,15.0779864095305,0.0361794630035378,2.39948903128534
"16",1,"T1A2","Control","1",0.1675,15.0779864095305,0.140225189603688,9.29999442863634
"17",1,"T1A3","Control","1",0.143,12.7952105637972,0.219876765252024,17.1843022164984
"18",1,"T1A3","Control","1",0.3478,12.7952105637972,0.0320142256633235,2.50204758285922
"19",2,"T1A4","OA","1",0.5358,10.2954711179394,0.0209861139586114,2.03838306360202
"20",2,"T1A4","OA","1",0.2358,10.2954711179394,0.105621478017055,10.2590232935542
"21",1,"T1A5","OA","1",0.1681,17.6652099304246,0.138766858715475,7.85537558070445
"22",1,"T1A5","OA","1",0.335,17.6652099304246,0.0326761216791121,1.84974431709608
"23",1,"T1A6","OA","1",0.1695,14.8920417759208,0.135438679696688,9.09470183703632
"24",1,"T1A6","OA","1",0.3203,14.8920417759208,0.0337086891880015,2.26353710896149
"25",1,"T1B1","Control","1",0.1913,12.7963896687841,0.0949887521382981,7.4230899962367
"26",1,"T1B1","Control","1",0.2901,12.7963896687841,0.0372503998878417,2.91100856194707
"27",1,"T1B2","Control","1",0.138,17.138198434144,0.242165157078006,14.130140808473
"28",1,"T1B2","Control","1",0.3521,17.138198434144,0.0318308560508777,1.85730467372007
"29",2,"T1B3","Control","1",0.3149,7.97800671357821,0.0463890561293443,5.81461733422613
"30",2,"T1B3","Control","1",0.5673,7.97800671357821,0.020617118075092,2.5842442624174
"31",1,"T1B4","OA","1",0.3224,14.4518252906462,0.0335397736976991,2.32079844747413
"32",1,"T1B4","OA","1",0.1951,14.4518252906462,0.0897316479305413,6.20901831608904
"33",1,"T1B5","OA","1",0.1871,17.3854437108584,0.101339174340367,5.82896680842687
"34",1,"T1B5","OA","1",0.2345,17.3854437108584,0.0549098352523621,3.15837985878194
"35",1,"T1B6","OA","1",0.1668,17.0783556685622,0.141951306939487,8.31176664160884
"36",1,"T1B6","OA","1",0.3313,17.0783556685622,0.0329051965043025,1.92671924293474
"37",1,"T1C1","HW","1",0.3497,17.4959046060312,0.0319310400193641,1.82505796289931
"38",1,"T1C1","HW","1",0.1506,17.4959046060312,0.190400021271908,10.8825479767575
"39",2,"T1C2","HW","1",0.1765,12.9185061987311,0.226914208232695,17.5650500717322
"40",2,"T1C2","HW","1",0.3423,12.9185061987311,0.0375533485870089,2.9069420263697
"41",1,"T1C3","HW","1",0.1919,15.0849257589965,0.0941289205066134,6.2399326327792
"42",1,"T1C3","HW","1",0.3399,15.0849257589965,0.0324003118117405,2.14786021021134
"43",1,"T1D1","HW","1",0.1623,16.0570335017656,0.153711816222441,9.57286513760711
"44",1,"T1D1","HW","1",0.3048,16.0570335017656,0.035231754762534,2.19416337137617
"45",1,"T1D2","HW","1",0.3396,13.5937038324648,0.0324163497552911,2.38465911533792
"46",1,"T1D2","HW","1",0.1977,13.5937038324648,0.0863818513809313,6.35454857966173
"47",1,"T1D3","HW","1",0.2818,19.7063824400436,0.0387172133764283,1.9647042522505
"48",1,"T1D3","HW","1",0.1624,19.7063824400436,0.153437505904489,7.78618330235497
"49",2,"T2A1","Control","2",0.2214,13.48420260047,0.126081142857922,9.35028541128028
"50",2,"T2A1","Control","2",0.3651,13.48420260047,0.0325032280011601,2.41046719366461
"51",1,"T2A2","Control","2",0.2369,20.4139547707908,0.0536174922015197,2.62651175646955
"52",1,"T2A2","Control","2",0.1558,20.4139547707908,0.172913775716797,8.47037125624527
"53",1,"T2A3","Control","2",0.2785,19.9684800205504,0.0393797476451481,1.97209540258552
"54",1,"T2A3","Control","2",0.1458,19.9684800205504,0.208434394206513,10.4381702559236
"55",1,"T2A4","OA","2",0.2259,19.6552380140848,0.0601494022334695,3.06022253153927
"56",1,"T2A4","OA","2",0.1373,19.6552380140848,0.245487645857582,12.4896806480627
"57",1,"T2A5","OA","2",0.1453,18.4545011744811,0.210425864397242,11.4024140998305
"58",1,"T2A5","OA","2",0.2602,18.4545011744811,0.0440802818404121,2.38859243193018
