"","Plate","Treatment","Time","Sample_ID","N","Catalase_UmL_ng_protein","sd","se","ci"
"1",1,"Baseline","Baseline","T0BL1",2,81.4674053571266,2.66095407343948,1.88157866975502,23.9077238051265
"2",1,"Baseline","Baseline","T0BL2",2,196.617281347541,0.219335669253126,0.155093739084975,1.97065280211256
"3",1,"Baseline","Baseline","T0BL3",2,201.312993791848,0.450522244658621,0.318567334273496,4.04778177153644
"4",1,"Baseline","Baseline","T0BL4",2,175.715049991396,5.23133727562373,3.6991140622675,47.0017006176337
"5",1,"Baseline","Baseline","T0BL5",2,168.517740981909,2.05390239416463,1.45232831080909,18.4535808612831
"6",1,"Baseline","Baseline","T0BL6",2,98.2136611667353,43.9538886096425,31.0800926953963,394.910021006994
"7",1,"Control","1","T1A1",2,127.136849319468,8.14879419616942,5.76206763460497,73.2140110689766
"8",1,"Control","1","T1A2",2,66.5611479571975,26.8361770760359,18.976042791588,241.113484792329
"9",1,"Control","1","T1A3",2,145.651360920238,19.7843337123167,13.9896365292367,177.75518592515
"10",1,"Control","1","T1B2",2,86.229648579538,7.46060014333721,5.27544095307507,67.0308328233724
"11",1,"Control","1","T1B3",2,134.81470148583,1.58627757216863,1.12166762812457,14.2521385288902
"12",1,"Control","2","T2A1",2,161.072152312682,1.43388149581391,1.01390732910792,12.8829141071533
"13",1,"Control","3","T3A1",2,147.617846641764,11.0237471997974,7.79496639906296,99.0444389780963
"14",1,"Control","3","T3A2",2,103.221870034195,3.8381589889885,2.71398824838587,34.4844903355631
"15",1,"Control","3","T3A3",2,10.4053602966926,0.00880991864681106,0.00622955321686192,0.0791539785883432
"16",1,"Control","3","T3B1",2,141.416955958414,0.788781701904333,0.55775289029242,7.08692241624867
"17",1,"Control","3","T3B2",2,149.107861875259,1.83341281653806,1.29641863528839,16.4725606037665
"18",1,"Control","3","T3B3",2,166.283049934646,1.84962064896026,1.30787930350246,16.6181822005078
"19",1,"HW","1","T1C1",2,121.264371492381,6.73677295876382,4.76361784245606,60.5275035911414
"20",1,"HW","1","T1C2",2,124.64533198521,15.2417124374185,10.7775182213939,136.941353068885
"21",1,"HW","1","T1C3",2,134.207508362937,4.73786381006872,3.35017562843792,42.568017437075
